timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,grpThreads,allThreads,Latency,Connect
1675704745349,3053,/birth-chart/,200,OK,Horoscope Inner Page Thread Group 1-1,false,"The operation lasted too long: It took 3,053 milliseconds, but should not have lasted longer than 2,500 milliseconds.",1,1,159,0
1675704745349,159,/birth-chart/-0,301,Moved Permanently,Horoscope Inner Page Thread Group 1-1,true,,1,1,159,0
1675704745508,503,/birth-chart/-1,302,Found,Horoscope Inner Page Thread Group 1-1,true,,1,1,503,214
1675704746012,2390,/birth-chart/-2,200,OK,Horoscope Inner Page Thread Group 1-1,true,,1,1,2340,318
1675704797275,617,/images-US/upsell/monthly-horoscopes/january.jpg,404,Not Found,Horoscope Inner Page Thread Group 1-1,false,Test failed: code expected not to contain /404/,1,1,159,0
1675704797275,159,/images-US/upsell/monthly-horoscopes/january.jpg-0,301,Moved Permanently,Horoscope Inner Page Thread Group 1-1,true,,1,1,159,0
1675704797434,458,/images-US/upsell/monthly-horoscopes/january.jpg-1,404,Not Found,Horoscope Inner Page Thread Group 1-1,false,,1,1,458,214
1675704800972,591,/mercury-retrograde/,404,Not Found,Horoscope Inner Page Thread Group 1-1,false,Test failed: code expected not to contain /404/,1,1,158,1
1675704800972,158,/mercury-retrograde/-0,301,Moved Permanently,Horoscope Inner Page Thread Group 1-1,true,,1,1,158,1
1675704801131,432,/mercury-retrograde/-1,404,Not Found,Horoscope Inner Page Thread Group 1-1,false,,1,1,432,212
