timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime,Connect
1674851349893,3298,/birth-chart/,200,OK,Tarot - Thread Group 1-2,text,false,"The operation lasted too long: It took 3,298 milliseconds, but should not have lasted longer than 2,500 milliseconds.",4,4,https://sites.horoscope.com/,178,1,1,0,1
1674851349893,178,/birth-chart/-0,301,Moved Permanently,Tarot - Thread Group 1-2,,true,,4,4,http://dev.horoscope.com/birth-chart/,178,1,0,0,1
1674851350071,508,/birth-chart/-1,302,Found,Tarot - Thread Group 1-2,text,true,,4,4,https://dev.horoscope.com/birth-chart/,508,1,0,0,160
1674851350580,2611,/birth-chart/-2,200,OK,Tarot - Thread Group 1-2,text,true,,4,4,https://sites.horoscope.com/,2554,1,0,0,323
1674851354750,654,/mercury-retrograde/,404,Not Found,Tarot - Thread Group 1-5,text,false,Test failed: code expected not to contain /404/,5,5,https://dev.horoscope.com/mercury-retrograde/,181,1,1,0,0
1674851354750,181,/mercury-retrograde/-0,301,Moved Permanently,Tarot - Thread Group 1-5,,true,,5,5,http://dev.horoscope.com/mercury-retrograde/,181,1,0,0,0
1674851354931,473,/mercury-retrograde/-1,404,Not Found,Tarot - Thread Group 1-5,text,false,,5,5,https://dev.horoscope.com/mercury-retrograde/,473,1,1,0,187
1674851354965,690,/celebrities/,404,Not Found,Tarot - Thread Group 1-4,text,false,Test failed: code expected not to contain /404/,5,5,https://dev.horoscope.com/celebrities/,180,1,1,0,1
1674851354965,180,/celebrities/-0,301,Moved Permanently,Tarot - Thread Group 1-4,,true,,5,5,http://dev.horoscope.com/celebrities/,180,1,0,0,1
1674851355145,510,/celebrities/-1,404,Not Found,Tarot - Thread Group 1-4,text,false,,5,5,https://dev.horoscope.com/celebrities/,510,1,1,0,208
1674851362190,689,/astrology/,404,Not Found,Tarot - Thread Group 1-5,text,false,Test failed: code expected not to contain /404/,5,5,https://dev.horoscope.com/astrology/,190,1,1,0,1
1674851362190,190,/astrology/-0,301,Moved Permanently,Tarot - Thread Group 1-5,,true,,5,5,http://dev.horoscope.com/astrology/,190,1,0,0,1
1674851362380,499,/astrology/-1,404,Not Found,Tarot - Thread Group 1-5,text,false,,5,5,https://dev.horoscope.com/astrology/,499,1,1,0,193
1674851364807,634,/horoscope-dates/,404,Not Found,Tarot - Thread Group 1-1,text,false,Test failed: code expected not to contain /404/,5,5,https://dev.horoscope.com/horoscope-dates/,176,1,1,0,1
1674851364807,176,/horoscope-dates/-0,301,Moved Permanently,Tarot - Thread Group 1-1,,true,,5,5,http://dev.horoscope.com/horoscope-dates/,176,1,0,0,1
1674851364983,458,/horoscope-dates/-1,404,Not Found,Tarot - Thread Group 1-1,text,false,,5,5,https://dev.horoscope.com/horoscope-dates/,458,1,1,0,180
1674851368800,658,/saturn-return/,404,Not Found,Tarot - Thread Group 1-3,text,false,Test failed: code expected not to contain /404/,5,5,https://dev.horoscope.com/saturn-return/,178,1,1,0,0
1674851368800,178,/saturn-return/-0,301,Moved Permanently,Tarot - Thread Group 1-3,,true,,5,5,http://dev.horoscope.com/saturn-return/,178,1,0,0,0
1674851368978,480,/saturn-return/-1,404,Not Found,Tarot - Thread Group 1-3,text,false,,5,5,https://dev.horoscope.com/saturn-return/,480,1,1,0,191
